,Total Visits (000s),Total Visits (000s),Total Visits (000s),Total Visits (000s),,Total Nights (000s),,,,,Total Spend (£m),Total Spend (£m),Total Spend (£m),Total Spend (£m),,Sample size,,,,
Year/Nights,1-3,4-7,8-14,15+,Total,1-3,4-7,8-14,15+,Total,1-3,4-7,8-14,15+,Total,1-3,4-7,8-14,15+,Total
2002,5417.17,1226.18,3428.99,1531.04,11603.38,11036.36,35975.57,16140.68,12249.51,75402.11,1699.84,1323.74,1772.34,991.94,5787.85,9888.00,2697.00,6563.00,3211.00,22359.00
2003,5611.45,1156.70,3388.80,1538.80,11695.75,11404.27,39447.72,15838.67,12256.05,78946.70,1640.07,1558.47,1712.71,958.70,5869.95,9412.00,2383.00,6077.00,3034.00,20906.00
2004,6200.76,1388.14,4180.56,1619.87,13389.33,12518.59,45271.23,19511.28,12936.22,90237.32,1863.94,1524.59,2052.48,998.26,6439.27,10643.00,2556.00,7021.00,3089.00,23309.00
2005,6848.07,1302.97,4071.99,1669.54,13892.57,14258.61,44250.07,19398.25,13936.34,91843.26,2154.88,1523.63,2103.20,1076.87,6858.58,11332.00,2507.00,6960.00,3195.00,23994.00
2006,7581.65,1398.26,4743.89,1868.85,15592.65,15543.59,46706.36,22911.73,15905.96,101067.64,2395.12,1731.13,2479.09,1216.26,7821.60,11558.00,2395.00,7078.00,3175.00,24206.00
2007,7510.67,1371.79,4739.74,1717.57,15339.77,15658.96,42543.83,22950.63,14692.72,95846.14,2660.11,1624.64,2708.67,1198.99,8192.41,10360.00,2095.00,6499.00,2642.00,21596.00
2008,7141.51,1249.80,4725.95,1635.73,14752.99,15406.73,37730.82,22909.76,14767.60,90814.92,2655.21,1484.99,2693.66,1291.83,8125.69,8540.00,1687.00,5573.00,2197.00,17997.00
2009,6744.41,1135.05,4689.76,1642.08,14211.30,14440.12,35129.32,22459.26,13657.03,85685.73,2666.82,1616.75,2725.43,1229.23,8238.23,10293.00,2225.00,7535.00,3022.00,23075.00
2010,7030.25,1274.28,4704.30,1696.72,14705.54,15051.99,38517.26,22558.79,14189.89,90317.92,2884.60,1681.10,2889.81,1285.67,8741.17,10319.00,2522.00,7495.00,3123.00,23459.00
2011,7323.88,1215.14,5007.86,1742.60,15289.49,16283.53,35958.48,24096.13,15160.28,91498.42,3125.04,1683.22,3106.35,1496.77,9411.38,9161.00,1908.00,6520.00,2612.00,20201.00
2012,7075.96,1262.11,5296.24,1826.56,15460.86,14938.82,37727.49,25676.42,15957.02,94299.75,2957.38,1935.55,3388.96,1792.66,10074.54,8719.00,2187.00,6631.00,2844.00,20381.00
2013,7620.93,1310.81,5804.12,2074.89,16810.76,16416.99,36150.31,27951.26,17600.22,98118.78,3271.23,2225.93,3981.74,2016.64,11495.55,9304.00,2088.00,7339.00,3104.00,21835.00
2014,7864.37,1358.97,6125.67,2055.21,17404.22,17281.99,43835.10,29319.69,17569.71,108006.48,3385.88,2514.81,4070.17,1854.56,11825.41,8734.00,1996.00,7113.00,2882.00,20725.00
2015,8531.07,6560.06,2165.20,1324.82,18581.15,19079.63,31618.83,18457.84,39165.13,108321.43,3548.05,4186.06,2077.85,2107.29,11919.25,8855.00,6918.00,2705.00,1728.00,20206.00
2016,8734.69,6668.45,2256.05,1400.35,19059.55,19471.62,32200.82,19168.54,40217.47,111058.44,3538.63,4380.30,1969.32,1980.32,11868.57,8635.00,6770.00,2702.00,1693.00,19800.00
2017,9073.12,6842.93,2465.09,1446.67,19827.82,20205.04,33340.91,21443.82,39026.69,114016.47,3739.89,4809.68,2749.23,2246.92,13545.72,7777.00,6348.00,2776.00,1737.00,18638.00
2018 P1,1906.86,1370.80,463.58,290.54,4031.78,4093.75,6635.56,4372.66,6898.15,22000.12,736.54,935.05,475.25,417.95,2564.78,1447.00,1149.00,491.00,326.00,3413.00
2018 P2,2246.57,1875.69,544.05,269.84,4936.16,5338.76,8865.53,4637.74,7426.13,26268.17,888.24,1236.67,477.27,474.72,3076.90,1456.00,1389.00,554.00,284.00,3683.00
2018 P3,2014.65,1931.89,816.04,484.27,5246.85,4445.50,9901.72,7226.54,11850.84,33424.60,859.58,1298.55,760.57,621.49,3540.19,1320.00,1280.00,708.00,451.00,3759.00
